Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscriber Type,Zip Code
452405,2387,9/14/2014 18:44,Ryland Park,84,9/14/2014 19:24,Ryland Park,84,162,Customer,
452404,497,9/14/2014 18:40,San Francisco Caltrain (Townsend at 4th),70,9/14/2014 18:49,Market at 4th,76,621,Subscriber,95113
452401,755,9/14/2014 18:39,Embarcadero at Sansome,60,9/14/2014 18:52,Embarcadero at Bryant,54,442,Customer,nil
452400,743,9/14/2014 18:39,Embarcadero at Sansome,60,9/14/2014 18:51,Embarcadero at Bryant,54,584,Customer,nil
452399,825,9/14/2014 18:38,Embarcadero at Sansome,60,9/14/2014 18:52,Embarcadero at Bryant,54,322,Customer,nil
452398,826,9/14/2014 18:38,Embarcadero at Sansome,60,9/14/2014 18:52,Embarcadero at Bryant,54,280,Customer,nil
452392,364,9/14/2014 18:19,Market at 4th,76,9/14/2014 18:25,Beale at Market,56,401,Customer,94105
452391,377,9/14/2014 18:18,Market at 4th,76,9/14/2014 18:25,Beale at Market,56,500,Customer,94105
452390,226,9/14/2014 18:15,2nd at Folsom,62,9/14/2014 18:19,Post at Kearny,47,158,Subscriber,94109
452386,591,9/14/2014 18:12,Market at 4th,76,9/14/2014 18:22,San Francisco Caltrain (Townsend at 4th),70,368,Subscriber,94116
452384,644,9/14/2014 18:08,Market at 4th,76,9/14/2014 18:19,Grant Avenue at Columbus Avenue,73,436,Subscriber,94133
452383,4508,9/14/2014 18:08,South Van Ness at Market,66,9/14/2014 19:23,San Francisco Caltrain 2 (330 Townsend),69,571,Customer,94061
452382,4550,9/14/2014 18:08,South Van Ness at Market,66,9/14/2014 19:24,San Francisco Caltrain 2 (330 Townsend),69,451,Customer,94061
452379,815,9/14/2014 18:01,Market at 4th,76,9/14/2014 18:15,Embarcadero at Sansome,60,559,Subscriber,94109
452377,631,9/14/2014 17:58,Embarcadero at Vallejo,48,9/14/2014 18:08,Harry Bridges Plaza (Ferry Building),50,473,Customer,94589
452376,659,9/14/2014 17:58,Embarcadero at Vallejo,48,9/14/2014 18:09,Harry Bridges Plaza (Ferry Building),50,573,Customer,94589
452375,426,9/14/2014 17:57,South Van Ness at Market,66,9/14/2014 18:04,Powell Street BART,39,547,Subscriber,94114
452374,340,9/14/2014 17:56,Embarcadero at Sansome,60,9/14/2014 18:02,Harry Bridges Plaza (Ferry Building),50,390,Subscriber,94131
452373,558,9/14/2014 17:56,Harry Bridges Plaza (Ferry Building),50,9/14/2014 18:05,Embarcadero at Sansome,60,280,Customer,5087
452372,12045,9/14/2014 17:55,5th at Howard,57,9/14/2014 21:16,5th at Howard,57,526,Customer,94102
452371,12135,9/14/2014 17:55,5th at Howard,57,9/14/2014 21:17,5th at Howard,57,374,Customer,94102
452370,2218,9/14/2014 17:51,Harry Bridges Plaza (Ferry Building),50,9/14/2014 18:28,2nd at South Park,64,548,Customer,94117
452369,356,9/14/2014 17:49,Market at Sansome,77,9/14/2014 17:55,Powell Street BART,39,382,Subscriber,94103
452368,2438,9/14/2014 17:47,Harry Bridges Plaza (Ferry Building),50,9/14/2014 18:28,2nd at South Park,64,496,Customer,94107
452366,1532,9/14/2014 17:45,Rengstorff Avenue / California Street,33,9/14/2014 18:10,San Antonio Shopping Center,31,55,Customer,94043
452364,1581,9/14/2014 17:44,Rengstorff Avenue / California Street,33,9/14/2014 18:11,San Antonio Shopping Center,31,146,Customer,94022
452362,16990,9/14/2014 17:35,Powell Street BART,39,9/14/2014 22:18,Powell Street BART,39,488,Customer,39
452361,17001,9/14/2014 17:35,Powell Street BART,39,9/14/2014 22:18,Powell Street BART,39,470,Customer,39
452360,1403,9/14/2014 17:35,Embarcadero at Bryant,54,9/14/2014 17:58,Howard at 2nd,63,67,Subscriber,94107
452359,441,9/14/2014 17:34,San Salvador at 1st,8,9/14/2014 17:42,Santa Clara at Almaden,4,182,Subscriber,95110
452358,382,9/14/2014 17:30,Embarcadero at Sansome,60,9/14/2014 17:37,Embarcadero at Vallejo,48,333,Customer,94589
452357,378,9/14/2014 17:30,Embarcadero at Sansome,60,9/14/2014 17:36,Embarcadero at Vallejo,48,573,Customer,94589
452356,1345,9/14/2014 17:27,Harry Bridges Plaza (Ferry Building),50,9/14/2014 17:49,Grant Avenue at Columbus Avenue,73,326,Customer,55425
452355,1377,9/14/2014 17:27,Harry Bridges Plaza (Ferry Building),50,9/14/2014 17:50,Grant Avenue at Columbus Avenue,73,284,Customer,55425
452354,437,9/14/2014 17:27,Howard at 2nd,63,9/14/2014 17:34,Powell Street BART,39,349,Subscriber,94105
452353,487,9/14/2014 17:26,Howard at 2nd,63,9/14/2014 17:34,Powell Street BART,39,524,Subscriber,94105
452352,962,9/14/2014 17:24,2nd at Townsend,61,9/14/2014 17:40,Powell Street BART,39,412,Customer,97223
452351,884,9/14/2014 17:24,2nd at Townsend,61,9/14/2014 17:39,Powell Street BART,39,477,Customer,97223
452349,1244,9/14/2014 17:23,Rengstorff Avenue / California Street,33,9/14/2014 17:43,Rengstorff Avenue / California Street,33,146,Customer,94022
452348,439,9/14/2014 17:23,2nd at Townsend,61,9/14/2014 17:30,Yerba Buena Center of the Arts (3rd @ Howard),68,538,Subscriber,94112
452347,1246,9/14/2014 17:22,Rengstorff Avenue / California Street,33,9/14/2014 17:43,Rengstorff Avenue / California Street,33,305,Customer,94043
452346,794,9/14/2014 17:21,Golden Gate at Polk,59,9/14/2014 17:34,2nd at South Park,64,430,Subscriber,94107
452345,412,9/14/2014 17:21,2nd at Townsend,61,9/14/2014 17:27,Market at Sansome,77,596,Subscriber,94107
452344,264,9/14/2014 17:17,Santa Clara at Almaden,4,9/14/2014 17:21,San Jose Diridon Caltrain Station,2,299,Subscriber,95113
452343,615,9/14/2014 17:13,Harry Bridges Plaza (Ferry Building),50,9/14/2014 17:23,Post at Kearny,47,586,Customer,97232
452342,535,9/14/2014 17:13,San Antonio Shopping Center,31,9/14/2014 17:22,Rengstorff Avenue / California Street,33,305,Customer,94043
452341,654,9/14/2014 17:13,Harry Bridges Plaza (Ferry Building),50,9/14/2014 17:24,Post at Kearny,47,608,Customer,97232
452340,1361,9/14/2014 17:13,Embarcadero at Vallejo,48,9/14/2014 17:35,Civic Center BART (7th at Market),72,327,Customer,1050
452339,572,9/14/2014 17:12,San Antonio Shopping Center,31,9/14/2014 17:22,Rengstorff Avenue / California Street,33,146,Customer,94022
452338,93,9/14/2014 17:12,2nd at Folsom,62,9/14/2014 17:14,Howard at 2nd,63,100,Subscriber,94107
452337,1062,9/14/2014 17:09,Embarcadero at Vallejo,48,9/14/2014 17:26,San Francisco Caltrain 2 (330 Townsend),69,513,Customer,90808
452336,1251,9/14/2014 17:07,5th at Howard,57,9/14/2014 17:28,Harry Bridges Plaza (Ferry Building),50,548,Customer,5087
452331,750,9/14/2014 17:02,Howard at 2nd,63,9/14/2014 17:15,South Van Ness at Market,66,571,Customer,94901
452330,753,9/14/2014 17:02,Howard at 2nd,63,9/14/2014 17:15,South Van Ness at Market,66,498,Customer,94901
452327,430,9/14/2014 16:55,San Jose Diridon Caltrain Station,2,9/14/2014 17:02,Paseo de San Antonio,7,65,Subscriber,95113
452326,197,9/14/2014 16:54,Embarcadero at Folsom,51,9/14/2014 16:57,Embarcadero at Bryant,54,191,Subscriber,94107
452325,289,9/14/2014 16:54,Market at 4th,76,9/14/2014 16:58,Civic Center BART (7th at Market),72,497,Subscriber,94103
452323,790,9/14/2014 16:53,Yerba Buena Center of the Arts (3rd @ Howard),68,9/14/2014 17:06,5th at Howard,57,548,Customer,5087
452322,729,9/14/2014 16:53,2nd at Townsend,61,9/14/2014 17:05,Embarcadero at Sansome,60,584,Subscriber,94107
452321,6159,9/14/2014 16:52,Market at 4th,76,9/14/2014 18:35,Embarcadero at Vallejo,48,222,Customer,91214
452320,487,9/14/2014 16:51,Townsend at 7th,65,9/14/2014 16:59,2nd at South Park,64,602,Subscriber,94107
452319,6359,9/14/2014 16:50,Market at 4th,76,9/14/2014 18:36,Embarcadero at Vallejo,48,518,Customer,90042
452318,6445,9/14/2014 16:49,Market at 4th,76,9/14/2014 18:36,Embarcadero at Vallejo,48,434,Customer,90042
452317,148,9/14/2014 16:49,Market at Sansome,77,9/14/2014 16:51,Commercial at Montgomery,45,453,Subscriber,94112
452314,932,9/14/2014 16:41,Civic Center BART (7th at Market),72,9/14/2014 16:57,Powell Street BART,39,366,Customer,7624
452313,3619,9/14/2014 16:41,2nd at Townsend,61,9/14/2014 17:41,Commercial at Montgomery,45,66,Customer,48154
452312,1344,9/14/2014 16:40,San Francisco City Hall,58,9/14/2014 17:03,Powell Street BART,39,330,Customer,39
452309,3627,9/14/2014 16:40,2nd at Townsend,61,9/14/2014 17:41,Commercial at Montgomery,45,193,Customer,48154
452308,1385,9/14/2014 16:40,San Francisco City Hall,58,9/14/2014 17:03,Powell Street BART,39,332,Customer,39
452307,343,9/14/2014 16:40,Powell Street BART,39,9/14/2014 16:45,Market at Sansome,77,187,Subscriber,94103
452304,404,9/14/2014 16:39,Market at Sansome,77,9/14/2014 16:45,Grant Avenue at Columbus Avenue,73,351,Subscriber,94104
452303,263,9/14/2014 16:34,5th at Howard,57,9/14/2014 16:38,Market at 4th,76,556,Subscriber,94103
452302,6833,9/14/2014 16:30,San Jose Civic Center,3,9/14/2014 18:23,San Jose Civic Center,3,18,Customer,45305
452300,411,9/14/2014 16:27,San Jose Civic Center,3,9/14/2014 16:34,MLK Library,11,124,Subscriber,95112
452299,217,9/14/2014 16:25,Market at 4th,76,9/14/2014 16:28,5th at Howard,57,556,Subscriber,94103
452298,1690,9/14/2014 16:22,Embarcadero at Bryant,54,9/14/2014 16:50,Grant Avenue at Columbus Avenue,73,562,Customer,94133
452297,1737,9/14/2014 16:22,Embarcadero at Bryant,54,9/14/2014 16:51,Grant Avenue at Columbus Avenue,73,281,Customer,94133
452296,587,9/14/2014 16:21,Embarcadero at Sansome,60,9/14/2014 16:31,Beale at Market,56,324,Subscriber,94606
452295,363,9/14/2014 16:21,2nd at Townsend,61,9/14/2014 16:27,Howard at 2nd,63,498,Customer,94901
452294,925,9/14/2014 16:21,Powell Street BART,39,9/14/2014 16:36,Steuart at Market,74,637,Customer,55425
452293,987,9/14/2014 16:20,Powell Street BART,39,9/14/2014 16:36,Steuart at Market,74,392,Customer,55425
452292,477,9/14/2014 16:19,2nd at Townsend,61,9/14/2014 16:27,Howard at 2nd,63,571,Customer,94901
452291,1394,9/14/2014 16:18,5th at Howard,57,9/14/2014 16:42,5th at Howard,57,526,Subscriber,94103
452290,183,9/14/2014 16:15,Embarcadero at Bryant,54,9/14/2014 16:18,Embarcadero at Folsom,51,191,Subscriber,94107
452289,512,9/14/2014 16:15,Embarcadero at Bryant,54,9/14/2014 16:23,Embarcadero at Sansome,60,442,Subscriber,94111
452288,1262,9/14/2014 16:14,Townsend at 7th,65,9/14/2014 16:35,Embarcadero at Vallejo,48,604,Customer,90808
452287,3686,9/14/2014 16:14,Market at 10th,67,9/14/2014 17:15,Market at 10th,67,271,Subscriber,19130
452286,663,9/14/2014 16:13,Broadway St at Battery St,82,9/14/2014 16:24,Powell Street BART,39,488,Customer,3370
452285,70,9/14/2014 16:13,Embarcadero at Bryant,54,9/14/2014 16:14,Embarcadero at Bryant,54,545,Subscriber,94111
452284,669,9/14/2014 16:12,Embarcadero at Bryant,54,9/14/2014 16:23,Embarcadero at Sansome,60,318,Subscriber,94111
452283,369,9/14/2014 16:11,Santa Clara at Almaden,4,9/14/2014 16:17,San Salvador at 1st,8,648,Subscriber,95110
452282,255,9/14/2014 16:10,San Francisco Caltrain 2 (330 Townsend),69,9/14/2014 16:15,Townsend at 7th,65,602,Subscriber,94002
452281,291,9/14/2014 16:10,San Francisco Caltrain 2 (330 Townsend),69,9/14/2014 16:15,Townsend at 7th,65,506,Subscriber,94002
452280,3169,9/14/2014 16:09,Embarcadero at Sansome,60,9/14/2014 17:02,Embarcadero at Sansome,60,427,Customer,1050
452279,807,9/14/2014 16:08,2nd at Townsend,61,9/14/2014 16:21,Grant Avenue at Columbus Avenue,73,419,Subscriber,94123
452277,767,9/14/2014 15:59,Embarcadero at Vallejo,48,9/14/2014 16:11,Market at 4th,76,222,Subscriber,94109
452275,1013,9/14/2014 15:56,Steuart at Market,74,9/14/2014 16:13,San Francisco City Hall,58,330,Customer,94117
452271,292,9/14/2014 15:54,2nd at South Park,64,9/14/2014 15:59,San Francisco Caltrain 2 (330 Townsend),69,418,Subscriber,94129
452270,817,9/14/2014 15:53,Steuart at Market,74,9/14/2014 16:07,San Francisco Caltrain (Townsend at 4th),70,493,Subscriber,95035
452268,647,9/14/2014 15:52,Market at 4th,76,9/14/2014 16:03,Embarcadero at Sansome,60,427,Subscriber,94133
452267,270,9/14/2014 15:51,Embarcadero at Sansome,60,9/14/2014 15:56,Embarcadero at Vallejo,48,426,Subscriber,94109
452266,1417,9/14/2014 15:50,Embarcadero at Sansome,60,9/14/2014 16:14,2nd at Townsend,61,571,Customer,972
452265,1728,9/14/2014 15:50,University and Emerson,35,9/14/2014 16:18,University and Emerson,35,684,Customer,94043
452264,700,9/14/2014 15:49,Powell Street BART,39,9/14/2014 16:01,San Francisco Caltrain 2 (330 Townsend),69,290,Subscriber,94107
452263,1773,9/14/2014 15:49,University and Emerson,35,9/14/2014 16:19,University and Emerson,35,192,Customer,94022
452262,4462,9/14/2014 15:47,University and Emerson,35,9/14/2014 17:01,University and Emerson,35,201,Customer,94301
452261,4447,9/14/2014 15:46,University and Emerson,35,9/14/2014 17:00,University and Emerson,35,705,Customer,94301
452260,538,9/14/2014 15:46,Embarcadero at Sansome,60,9/14/2014 15:54,Steuart at Market,74,330,Customer,94117
452259,915,9/14/2014 15:45,Civic Center BART (7th at Market),72,9/14/2014 16:00,Embarcadero at Vallejo,48,651,Customer,1050
452258,241,9/14/2014 15:45,Temporary Transbay Terminal (Howard at Beale),55,9/14/2014 15:49,Embarcadero at Bryant,54,442,Subscriber,94105
452257,935,9/14/2014 15:45,Powell at Post (Union Square),71,9/14/2014 16:00,Harry Bridges Plaza (Ferry Building),50,284,Customer,nil
452256,346,9/14/2014 15:44,Civic Center BART (7th at Market),72,9/14/2014 15:49,Market at 4th,76,497,Subscriber,94103
452255,632,9/14/2014 15:43,2nd at Townsend,61,9/14/2014 15:54,Harry Bridges Plaza (Ferry Building),50,326,Customer,94115
452254,1226,9/14/2014 15:43,Grant Avenue at Columbus Avenue,73,9/14/2014 16:03,Golden Gate at Polk,59,430,Subscriber,94107
452253,686,9/14/2014 15:42,2nd at Townsend,61,9/14/2014 15:54,Harry Bridges Plaza (Ferry Building),50,448,Customer,94109
452252,692,9/14/2014 15:42,2nd at Townsend,61,9/14/2014 15:54,Harry Bridges Plaza (Ferry Building),50,586,Customer,94109
452247,12531,9/14/2014 15:40,Harry Bridges Plaza (Ferry Building),50,9/14/2014 19:09,Harry Bridges Plaza (Ferry Building),50,622,Subscriber,94306
452244,4123,9/14/2014 15:37,Civic Center BART (7th at Market),72,9/14/2014 16:46,Civic Center BART (7th at Market),72,611,Customer,nil
452243,4133,9/14/2014 15:37,Civic Center BART (7th at Market),72,9/14/2014 16:46,Civic Center BART (7th at Market),72,358,Customer,nil
452242,7272,9/14/2014 15:37,Grant Avenue at Columbus Avenue,73,9/14/2014 17:38,Grant Avenue at Columbus Avenue,73,393,Customer,74246
452239,7296,9/14/2014 15:37,Grant Avenue at Columbus Avenue,73,9/14/2014 17:38,Grant Avenue at Columbus Avenue,73,544,Customer,74246
452238,8115,9/14/2014 15:34,San Jose Civic Center,3,9/14/2014 17:49,SJSU 4th at San Carlos,12,42,Customer,nil
452237,2555,9/14/2014 15:31,University and Emerson,35,9/14/2014 16:14,University and Emerson,35,523,Customer,95033
452236,8396,9/14/2014 15:28,San Jose Civic Center,3,9/14/2014 17:48,SJSU 4th at San Carlos,12,101,Customer,nil
452235,655,9/14/2014 15:28,Grant Avenue at Columbus Avenue,73,9/14/2014 15:39,Market at Sansome,77,389,Subscriber,94133
452234,2791,9/14/2014 15:28,Cowper at University,37,9/14/2014 16:14,Cowper at University,37,245,Subscriber,94541
452233,2835,9/14/2014 15:27,University and Emerson,35,9/14/2014 16:14,University and Emerson,35,147,Customer,95033
452228,2795,9/14/2014 15:20,Harry Bridges Plaza (Ferry Building),50,9/14/2014 16:07,Embarcadero at Sansome,60,573,Customer,nil
452227,2791,9/14/2014 15:20,Harry Bridges Plaza (Ferry Building),50,9/14/2014 16:06,Embarcadero at Sansome,60,333,Customer,nil
452224,563,9/14/2014 15:19,Powell at Post (Union Square),71,9/14/2014 15:28,Civic Center BART (7th at Market),72,611,Customer,nil
452223,570,9/14/2014 15:19,Powell at Post (Union Square),71,9/14/2014 15:28,Civic Center BART (7th at Market),72,358,Customer,nil
452221,2901,9/14/2014 15:19,Harry Bridges Plaza (Ferry Building),50,9/14/2014 16:07,Embarcadero at Sansome,60,322,Customer,nil
452220,2893,9/14/2014 15:18,Harry Bridges Plaza (Ferry Building),50,9/14/2014 16:07,Embarcadero at Sansome,60,390,Customer,nil
452219,322,9/14/2014 15:15,2nd at Folsom,62,9/14/2014 15:21,2nd at South Park,64,394,Subscriber,94107
452218,306,9/14/2014 15:15,2nd at Folsom,62,9/14/2014 15:20,2nd at South Park,64,444,Subscriber,94107
452215,1592,9/14/2014 15:11,2nd at Townsend,61,9/14/2014 15:37,Embarcadero at Vallejo,48,327,Customer,972
452214,594,9/14/2014 15:09,2nd at Townsend,61,9/14/2014 15:19,Harry Bridges Plaza (Ferry Building),50,622,Subscriber,94591
452211,625,9/14/2014 15:07,Powell at Post (Union Square),71,9/14/2014 15:17,Yerba Buena Center of the Arts (3rd @ Howard),68,548,Customer,93906
452210,659,9/14/2014 15:06,Powell at Post (Union Square),71,9/14/2014 15:17,Yerba Buena Center of the Arts (3rd @ Howard),68,475,Customer,93906
452209,1497,9/14/2014 15:05,Steuart at Market,74,9/14/2014 15:30,Steuart at Market,74,514,Customer,54701
452208,712,9/14/2014 15:03,Market at Sansome,77,9/14/2014 15:15,Market at 10th,67,469,Subscriber,29103
452207,72687,9/14/2014 15:03,San Jose Diridon Caltrain Station,2,9/15/2014 11:15,San Jose Diridon Caltrain Station,2,194,Customer,81
452206,496,9/14/2014 15:02,Beale at Market,56,9/14/2014 15:10,Market at 4th,76,472,Customer,94105
452204,1235,9/14/2014 15:01,Post at Kearny,47,9/14/2014 15:22,Powell Street BART,39,470,Customer,nil
452202,645,9/14/2014 15:00,Beale at Market,56,9/14/2014 15:11,Market at 4th,76,518,Customer,94105
452201,1389,9/14/2014 14:58,Post at Kearny,47,9/14/2014 15:22,Powell Street BART,39,290,Customer,nil
452196,300,9/14/2014 14:51,Commercial at Montgomery,45,9/14/2014 14:56,Grant Avenue at Columbus Avenue,73,572,Subscriber,94133
452193,292,9/14/2014 14:50,5th at Howard,57,9/14/2014 14:55,San Francisco Caltrain 2 (330 Townsend),69,519,Subscriber,94107
452192,369,9/14/2014 14:47,Post at Kearny,47,9/14/2014 14:54,2nd at South Park,64,344,Subscriber,94107
452189,1585,9/14/2014 14:45,South Van Ness at Market,66,9/14/2014 15:12,2nd at Townsend,61,498,Customer,94109
452188,1622,9/14/2014 14:45,South Van Ness at Market,66,9/14/2014 15:12,2nd at Townsend,61,326,Customer,94109
452187,5272,9/14/2014 14:43,Embarcadero at Sansome,60,9/14/2014 16:11,Broadway St at Battery St,82,560,Customer,3370
452186,724,9/14/2014 14:43,Harry Bridges Plaza (Ferry Building),50,9/14/2014 14:55,Civic Center BART (7th at Market),72,450,Subscriber,94103
452185,1587,9/14/2014 14:42,Embarcadero at Bryant,54,9/14/2014 15:08,Harry Bridges Plaza (Ferry Building),50,573,Customer,nil
452184,1572,9/14/2014 14:42,Embarcadero at Bryant,54,9/14/2014 15:08,Harry Bridges Plaza (Ferry Building),50,333,Customer,nil
452183,1857,9/14/2014 14:41,South Van Ness at Market,66,9/14/2014 15:12,2nd at Townsend,61,584,Customer,94115
452178,1681,9/14/2014 14:40,Embarcadero at Bryant,54,9/14/2014 15:08,Harry Bridges Plaza (Ferry Building),50,390,Customer,nil
452177,1697,9/14/2014 14:40,Embarcadero at Bryant,54,9/14/2014 15:08,Harry Bridges Plaza (Ferry Building),50,322,Customer,nil
452176,1986,9/14/2014 14:36,Steuart at Market,74,9/14/2014 15:09,Powell Street BART,39,626,Customer,44
452175,1009,9/14/2014 14:35,Harry Bridges Plaza (Ferry Building),50,9/14/2014 14:52,Embarcadero at Sansome,60,501,Customer,7624
452173,2048,9/14/2014 14:34,Steuart at Market,74,9/14/2014 15:09,Powell Street BART,39,392,Customer,44
452172,470,9/14/2014 14:33,San Francisco Caltrain 2 (330 Townsend),69,9/14/2014 14:41,Powell Street BART,39,532,Subscriber,94102
452171,434,9/14/2014 14:33,Grant Avenue at Columbus Avenue,73,9/14/2014 14:40,Market at Sansome,77,592,Subscriber,94104
452170,411,9/14/2014 14:32,2nd at Folsom,62,9/14/2014 14:39,2nd at South Park,64,590,Subscriber,94107
452169,439,9/14/2014 14:32,Harry Bridges Plaza (Ferry Building),50,9/14/2014 14:39,Embarcadero at Sansome,60,520,Subscriber,94133
452167,1518,9/14/2014 14:30,Harry Bridges Plaza (Ferry Building),50,9/14/2014 14:55,Post at Kearny,47,290,Customer,nil
452166,1441,9/14/2014 14:30,Harry Bridges Plaza (Ferry Building),50,9/14/2014 14:54,Post at Kearny,47,470,Customer,nil
452165,405,9/14/2014 14:29,Japantown,9,9/14/2014 14:35,San Jose City Hall,10,148,Customer,95112
452164,576,9/14/2014 14:26,Embarcadero at Bryant,54,9/14/2014 14:35,Mechanics Plaza (Market at Battery),75,614,Subscriber,94105
452163,327,9/14/2014 14:24,Townsend at 7th,65,9/14/2014 14:29,San Francisco Caltrain 2 (330 Townsend),69,532,Subscriber,94107
452162,859,9/14/2014 14:17,2nd at Folsom,62,9/14/2014 14:31,South Van Ness at Market,66,498,Subscriber,94107
452161,957,9/14/2014 14:15,2nd at Folsom,62,9/14/2014 14:31,South Van Ness at Market,66,609,Subscriber,94107
452160,6056,9/14/2014 14:13,Civic Center BART (7th at Market),72,9/14/2014 15:54,Golden Gate at Polk,59,659,Customer,39
452158,6083,9/14/2014 14:13,Civic Center BART (7th at Market),72,9/14/2014 15:54,Golden Gate at Polk,59,522,Customer,39
452157,620,9/14/2014 14:10,San Francisco Caltrain 2 (330 Townsend),69,9/14/2014 14:21,Market at 4th,76,500,Subscriber,94080
452156,529,9/14/2014 14:10,Howard at 2nd,63,9/14/2014 14:19,Harry Bridges Plaza (Ferry Building),50,470,Customer,7624
452155,927,9/14/2014 14:04,Embarcadero at Sansome,60,9/14/2014 14:20,Market at 4th,76,427,Subscriber,94133
452154,1089,9/14/2014 14:02,Steuart at Market,74,9/14/2014 14:20,Market at 4th,76,556,Customer,33316
452153,1537,9/14/2014 14:02,Powell Street BART,39,9/14/2014 14:28,Powell Street BART,39,637,Subscriber,94103
452152,1633,9/14/2014 14:02,Powell Street BART,39,9/14/2014 14:29,Civic Center BART (7th at Market),72,580,Subscriber,94103
452151,1121,9/14/2014 14:01,Steuart at Market,74,9/14/2014 14:20,Market at 4th,76,502,Customer,33316
452150,1235,9/14/2014 14:01,Embarcadero at Vallejo,48,9/14/2014 14:22,Spear at Folsom,49,484,Customer,94105
452149,1222,9/14/2014 14:01,Embarcadero at Vallejo,48,9/14/2014 14:22,Spear at Folsom,49,607,Customer,94105
452148,1206,9/14/2014 13:59,Temporary Transbay Terminal (Howard at Beale),55,9/14/2014 14:19,Washington at Kearny,46,416,Subscriber,94107
452147,425,9/14/2014 13:59,Washington at Kearny,46,9/14/2014 14:06,Embarcadero at Sansome,60,437,Customer,3370
452146,645,9/14/2014 13:56,South Van Ness at Market,66,9/14/2014 14:07,San Francisco Caltrain (Townsend at 4th),70,385,Subscriber,94102
452144,1598,9/14/2014 13:47,Commercial at Montgomery,45,9/14/2014 14:14,San Francisco Caltrain 2 (330 Townsend),69,86,Subscriber,94107
452143,427,9/14/2014 13:46,Market at 4th,76,9/14/2014 13:53,Beale at Market,56,472,Customer,52
452142,461,9/14/2014 13:45,Market at 4th,76,9/14/2014 13:53,Beale at Market,56,29,Customer,52
452141,471,9/14/2014 13:45,Civic Center BART (7th at Market),72,9/14/2014 13:53,Townsend at 7th,65,276,Subscriber,94103
452140,1232,9/14/2014 13:44,Steuart at Market,74,9/14/2014 14:05,Embarcadero at Sansome,60,488,Customer,94117
452138,837,9/14/2014 13:37,Harry Bridges Plaza (Ferry Building),50,9/14/2014 13:51,Powell Street BART,39,580,Customer,93906
452137,888,9/14/2014 13:37,Harry Bridges Plaza (Ferry Building),50,9/14/2014 13:52,Powell Street BART,39,482,Customer,93906
452136,817,9/14/2014 13:37,Powell at Post (Union Square),71,9/14/2014 13:50,2nd at Townsend,61,193,Subscriber,94164
452135,966,9/14/2014 13:35,Palo Alto Caltrain Station,34,9/14/2014 13:51,Palo Alto Caltrain Station,34,104,Customer,94043
452134,247,9/14/2014 13:33,Embarcadero at Bryant,54,9/14/2014 13:37,Temporary Transbay Terminal (Howard at Beale),55,416,Subscriber,94107
452132,11783,9/14/2014 13:23,Harry Bridges Plaza (Ferry Building),50,9/14/2014 16:40,Harry Bridges Plaza (Ferry Building),50,446,Customer,94549
452125,12035,9/14/2014 13:19,Harry Bridges Plaza (Ferry Building),50,9/14/2014 16:40,Harry Bridges Plaza (Ferry Building),50,422,Customer,94549
452124,140,9/14/2014 13:19,Washington at Kearny,46,9/14/2014 13:21,Grant Avenue at Columbus Avenue,73,339,Subscriber,94105
